name,price,spec_score,display_inches,pixel_resolution,network_connection,smart_tv,speakers,processor,viewing_angle,misc
OnePlus Q2 Pro 65 inch Smart QLED TV,"₹65,999",83,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,70 w Output,"3 GB RAM, 32 GB Storage",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports"
Samsung UA43AU7600KXXL 43 inch Ultra HD 4K Smart LED TV,"₹33,490",64,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",Crystal Processor 4K Processor,178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports"
Xiaomi Smart TV 5A 32 inch HD Ready Smart LED TV,"₹13,999",49,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Cortex A35 64-bit Quad Core Processor, 1 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Sansui JSW55GSQLED 55 inch Ultra HD 4K Smart QLED TV,"₹36,990",74,"55 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","CA53 Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Sony Bravia KD-43X75K 43-inch Ultra HD 4K Smart LED Google TV,"₹46,540",64,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",‎X1 4K Processor Processor,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung UA32T4360 32 inch HD Ready Smart LED TV,"₹17,290",41,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"2 HDMI Ports, 1 USB Ports",Screen Mirroring / Miracast Support
LG 55UQ8050PSB 55 inch Ultra HD 4K LED Smart TV,"₹60,490",73,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports",Screen Mirroring / Miracast Support
OnePlus Y1S Pro 43 inch Ultra HD 4K Smart LED TV,"₹29,999",71,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Xiaomi Redmi X Pro 65 inch Ultra HD 4K Gaming TV,"₹29,990",62,"65 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,2 Speakers,"A73 chip Processor, 3 GB RAM, 32 GB Storage",178 ° Viewing Angle,3D TV: No
Sony Bravia X80K 55 inch Ultra HD 4K Smart LED TV (KD-55X80K),"₹79,990",74,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","4K HDR Processor X1 Processor, 16 GB Storage",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports"
Acer AR32AR2841HDFL I Series 32-inch HD Ready Smart LED TV,"₹11,499",50,"32 in, LED TV",1366 x 768 pixels,"Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","Quad Core Cortex-A55 x 4 64bit Processor, 1.5 GB RAM, 8 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Vu GloLED 43 inch Ultra HD 4K Smart LED TV (43GloLED),"₹26,999",72,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"3 Speakers, 84 w Output","Glo A.I Processor, 2 GB RAM, 16 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung UA32T4380AKXXL 32-inch HD Ready Smart LED TV,"₹13,490",37,"32 in, LED TV",1366 x 768 pixels,Wifi,Smart TV,"2 Speakers, 20 w Output","2 HDMI Ports, 1 USB Ports",Screen Mirroring / Miracast Support,50 Hz
LG 43UQ8050PSB 43 inch Ultra HD 4K LED Smart TV,"₹43,240",68,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports",Screen Mirroring / Miracast Support
Samsung The Wall Luxury 292-inch Ultra HD 8K Smart MicroLED TV,"₹88,00,000",79,"292 in, MicroLED TV","8K Resolution, 7680 x 4320 pixels",Wifi,Smart TV,"Ultra Slim, 178 ° Viewing Angle",3D TV: No,Screen Mirroring / Miracast Support,120 Hz
OnePlus Y1S Pro 55 inch Ultra HD 4K Smart LED TV,"₹39,999",73,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 24 w Output","MT9612 Processor, 2 GB RAM, 8 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Infinix 43Y1 43 inch Full HD Smart LED TV,"₹15,999",54,"43 in, LED TV","Full HD, 1920 x 1080 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output","Quad Core Processor, 1 GB RAM, 4 GB Storage",178 ° Viewing Angle,"2 HDMI Ports, 2 USB Ports"
Sony Bravia KD-55X75K 55 inch Ultra HD 4K Smart LED TV,"₹63,640",68,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",16 GB Storage,178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
Samsung Crystal 55AU7700  55-inch Ultra HD 4K Smart LED TV,"₹55,750",69,"55 in, LED TV","4K Resolution, 3840 x 2160 pixels",Wifi,Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"3 HDMI Ports, 1 USB Ports",3D TV: No
Samsung S95B 55 inch Ultra HD 4K Smart OLED TV (QN55S95BAFXZA),"₹1,31,990",82,"55 in, OLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 60 w Output",178 ° Viewing Angle,"4 HDMI Ports, 2 USB Ports",Screen Mirroring / Miracast Support
Xiaomi Mi TV 5 65-inch Ultra HD 4K Smart QLED TV,"₹40,990",69,"65 in, QLED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,4 Speakers,"Amlogic T972  Processor, 3 GB RAM, 32 GB Storage",178 ° Viewing Angle,"3 HDMI Ports, 2 USB Ports"
LG 43UQ8040PSB 43 Inch Ultra HD 4K Smart LED TV,"₹38,999",67,"43 in, LED TV","4K Resolution, 3840 x 2160 pixels","Wifi, Ethernet",Smart TV,"2 Speakers, 20 w Output",178 ° Viewing Angle,"4 HDMI Ports, 3 USB Ports",Screen Mirroring / Miracast Support
